epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,139.764,0.38036,0.21141,0.8079,0.94937,0.92779,0.96116,0.78484,0.72872,0.35573,1.01138,0.000336835,0.000336835,0.000336835
152,175.257,0.38511,0.21095,0.81234,0.95007,0.92511,0.95981,0.78354,0.7334,0.35816,1.01062,0.000334634,0.000334634,0.000334634
153,210.059,0.38387,0.21071,0.80795,0.94531,0.92908,0.96277,0.77855,0.74234,0.35909,1.01626,0.000332433,0.000332433,0.000332433
154,245.024,0.3728,0.20568,0.81122,0.94156,0.9306,0.96269,0.78354,0.73374,0.35557,1.0114,0.000330232,0.000330232,0.000330232
154,35.2182,0.35875,0.19933,0.8048,0.95812,0.92286,0.96163,0.78361,0.73515,0.35521,1.01818,0.000330232,0.000330232,0.000330232
155,70.9827,0.36385,0.20343,0.80631,0.95665,0.92207,0.96111,0.78105,0.7379,0.3549,1.01673,0.000328031,0.000328031,0.000328031
156,105.782,0.37602,0.20754,0.80758,0.95327,0.91856,0.96079,0.77933,0.74148,0.35727,1.01474,0.000325829,0.000325829,0.000325829
157,140.306,0.37963,0.2074,0.8062,0.95467,0.91753,0.96067,0.78514,0.73209,0.36031,1.01479,0.000323628,0.000323628,0.000323628
158,175.417,0.37191,0.20456,0.80779,0.94889,0.92535,0.96261,0.78254,0.73872,0.35942,1.02002,0.000321427,0.000321427,0.000321427
159,210.039,0.35338,0.19881,0.80026,0.96085,0.91336,0.96031,0.78031,0.73435,0.35332,1.01893,0.000319226,0.000319226,0.000319226
160,244.793,0.37162,0.20481,0.81072,0.94935,0.92352,0.96164,0.78565,0.73133,0.35124,1.01333,0.000317025,0.000317025,0.000317025
161,279.918,0.38536,0.2102,0.81108,0.95415,0.92009,0.96182,0.78469,0.72888,0.35155,1.00988,0.000314824,0.000314824,0.000314824
162,315.439,0.36978,0.20581,0.80706,0.94871,0.91969,0.95957,0.77709,0.74401,0.35836,1.02093,0.000312623,0.000312623,0.000312623
163,350.274,0.38198,0.21172,0.80897,0.94336,0.93297,0.96266,0.77755,0.74661,0.35163,1.02095,0.000310422,0.000310422,0.000310422
164,385.064,0.38244,0.21048,0.80892,0.95683,0.91705,0.96167,0.78333,0.73229,0.3456,1.0146,0.000308221,0.000308221,0.000308221
165,420.908,0.38455,0.21074,0.81226,0.93431,0.93624,0.96117,0.77977,0.74388,0.35203,1.02413,0.00030602,0.00030602,0.00030602
166,455.779,0.40603,0.2186,0.816,0.95861,0.91309,0.96551,0.78443,0.73432,0.34515,1.01271,0.000303818,0.000303818,0.000303818
167,490.343,0.38675,0.21039,0.81112,0.94151,0.92697,0.96232,0.78694,0.72351,0.34692,1.00657,0.000301617,0.000301617,0.000301617
